pathogen,year,rank,abundance,native.abundance,nonnative.abundance,host.num,amb.host.num,otu.id
Alternaria infectoria,2015,1,24,8,16,50,8,1
Alternaria infectoria,2016,2,51,27,24,50,8,1
Alternaria infectoria,2017,1,90,63,27,50,8,1
Parastagonospora avenae,2016,5,28,24,4,54,5,7
Pyrenophora chaetomioides,2015,5,18,1,17,7,7,4
Pyrenophora chaetomioides,2016,3,36,3,33,7,7,4
Pyrenophora chaetomioides,2017,2,36,7,29,7,7,4
Pyrenophora lolii,2015,2,24,7,17,11,7,5
Pyrenophora lolii,2016,4,31,13,18,11,7,5
Pyrenophora lolii,2017,3,31,11,20,11,7,5
Pyrenophora sp.,2016,1,216,112,104,NA,6,2
Pyrenophora tritici-repentis,2015,3,20,20,0,63,2,8
Ramularia proteae,2015,4,19,13,6,1,7,3
Ramularia proteae,2017,4,25,13,12,1,7,3
