year,month,experiment,plot,subplot,host,grass.group,nonnative,plant,leaf,infected,surface,native.density,nonnative.density,other.density,total.density,surface.scaled,natdens.s,nondens.s,othdens.s,nonnative.rel
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,1,0,0,9,17.777777778,0,26.777777778,2.707092582566324e-4,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,2,0,0,9,17.777777778,0,26.777777778,2.707092582566324e-4,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,3,0,0,9,17.777777778,0,26.777777778,2.707092582566324e-4,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,4,1,0.001,9,17.777777778,0,26.777777778,0.0012701678397401192,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,5,0,0,9,17.777777778,0,26.777777778,2.707092582566324e-4,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,1,6,0,0,9,17.777777778,0,26.777777778,2.707092582566324e-4,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,1,1,0.001,9,17.777777778,0,26.777777778,0.0012701678397401192,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,2,0,0,9,17.777777778,0,26.777777778,2.707092582566324e-4,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,2,3,0,0,9,17.777777778,0,26.777777778,2.707092582566324e-4,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
2015,March,transect,transect_1,transect_1A,AB,"non-native
annual",1,3,1,1,0.001,9,17.777777778,0,26.777777778,0.0012701678397401192,0.740129760011358,-1.2555961357052878,-0.29954785291053726,0.6639004149405485
