year,experiment,plot,subplot,sp,abundance,species,grass_group,CalfloraInvasive
2015,transect,transect_1,transect_1A,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_1,transect_1B,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_1,transect_1C,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_1,transect_1D,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_1,transect_1E,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_2,transect_2A,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_2,transect_2B,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_2,transect_2C,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_2,transect_2D,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_2,transect_2E,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_3,transect_3A,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_3,transect_3B,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_3,transect_3C,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_3,transect_3D,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_3,transect_3E,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_4,transect_4A,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_4,transect_4B,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_4,transect_4C,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_4,transect_4D,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_4,transect_4E,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_5,transect_5A,ELYgla,7,Elymus glaucus,nat.per,0
2015,transect,transect_5,transect_5B,ELYgla,4,Elymus glaucus,nat.per,0
2015,transect,transect_5,transect_5C,ELYgla,5,Elymus glaucus,nat.per,0
2015,transect,transect_5,transect_5D,ELYgla,2,Elymus glaucus,nat.per,0
2015,transect,transect_5,transect_5E,ELYgla,2,Elymus glaucus,nat.per,0
2015,transect,transect_6,transect_6A,ELYgla,7,Elymus glaucus,nat.per,0
2015,transect,transect_6,transect_6B,ELYgla,6,Elymus glaucus,nat.per,0
2015,transect,transect_6,transect_6C,ELYgla,7,Elymus glaucus,nat.per,0
2015,transect,transect_6,transect_6D,ELYgla,3,Elymus glaucus,nat.per,0
2015,transect,transect_6,transect_6E,ELYgla,1,Elymus glaucus,nat.per,0
2015,transect,transect_7,transect_7A,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_7,transect_7B,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_7,transect_7C,ELYgla,1,Elymus glaucus,nat.per,0
2015,transect,transect_7,transect_7D,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_7,transect_7E,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_8,transect_8A,ELYgla,7,Elymus glaucus,nat.per,0
2015,transect,transect_8,transect_8B,ELYgla,8,Elymus glaucus,nat.per,0
2015,transect,transect_8,transect_8C,ELYgla,6,Elymus glaucus,nat.per,0
2015,transect,transect_8,transect_8D,ELYgla,5,Elymus glaucus,nat.per,0
2015,transect,transect_8,transect_8E,ELYgla,1,Elymus glaucus,nat.per,0
2015,transect,transect_9,transect_9A,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_9,transect_9B,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_9,transect_9C,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_9,transect_9D,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_9,transect_9E,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_10,transect_10A,ELYgla,0,Elymus glaucus,nat.per,0
2015,transect,transect_10,transect_10B,ELYgla,0,Elymus glaucus,nat.per,0
