year,month,experiment,plot,subplot,host,mean.dam,leaf.i.1,leaf.i.2,leaf.i.3,leaf.i.4,leaf.i.5,leaf.i.6,leaf.s.1,leaf.s.2,leaf.s.3,leaf.s.4,leaf.s.5,leaf.s.6,leaves.dam,leaves.tot,prop.dam,grass.group,nonnative
2016,NA,transect,transect_1,transect_1A,AB,0.001,1,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,1,1,1,"non-native
annual",1
2016,NA,transect,transect_1,transect_1A,EG,0.004,1,1,1,NA,NA,NA,0.001,0.01,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_1,transect_1A,SP,0.020333333333333332,1,1,1,NA,NA,NA,0.001,0.05,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_1,transect_1A,SP,0.01,1,1,1,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_1,transect_1A,SP,0.01,1,1,1,NA,NA,NA,0.01,0.01,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_1,transect_1C,EG,6.666666666666666e-4,1,1,0,NA,NA,NA,0.001,0.001,0,NA,NA,NA,2,3,0.6666666666666666,"native
perennial",0
2016,NA,transect,transect_1,transect_1C,SP,0.006999999999999999,1,1,1,NA,NA,NA,0.01,0.01,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_1,transect_1C,SP,0.004,1,1,1,NA,NA,NA,0.001,0.001,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_1,transect_1C,SP,0.05333333333333333,1,1,1,NA,NA,NA,0.05,0.1,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_1,transect_1E,AB,0.0055000000000000005,1,1,NA,NA,NA,NA,0.01,0.001,NA,NA,NA,NA,2,2,1,"non-native
annual",1
2016,NA,transect,transect_1,transect_1E,SP,0.004,1,1,1,NA,NA,NA,0.001,0.001,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3A,AB,0.006999999999999999,1,1,1,NA,NA,NA,0.001,0.01,0.01,NA,NA,NA,3,3,1,"non-native
annual",1
2016,NA,transect,transect_3,transect_3A,EG,0.004,1,1,1,NA,NA,NA,0.01,0.001,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3A,SP,0.03666666666666667,1,1,1,NA,NA,NA,0.05,0.01,0.05,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3A,SP,0.03666666666666667,1,1,1,NA,NA,NA,0.05,0.05,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3A,SP,0.001,1,1,1,NA,NA,NA,0.001,0.001,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3C,SP,0.003666666666666667,1,1,0,NA,NA,NA,0.001,0.01,0,NA,NA,NA,2,3,0.6666666666666666,"native
perennial",0
2016,NA,transect,transect_3,transect_3C,SP,0.006999999999999999,1,1,1,NA,NA,NA,0.01,0.01,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3C,SP,0.003666666666666667,1,1,0,NA,NA,NA,0.001,0.01,0,NA,NA,NA,2,3,0.6666666666666666,"native
perennial",0
2016,NA,transect,transect_3,transect_3E,EG,0.001,1,1,1,NA,NA,NA,0.001,0.001,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3E,SP,0.04,1,1,1,NA,NA,NA,0.01,0.1,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_3,transect_3E,SP,0.004,1,1,1,NA,NA,NA,0.001,0.01,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_4,transect_4A,EG,0.001,1,1,NA,NA,NA,NA,0.001,0.001,NA,NA,NA,NA,2,2,1,"native
perennial",0
2016,NA,transect,transect_4,transect_4A,SP,0.023333333333333334,1,1,1,NA,NA,NA,0.01,0.05,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_4,transect_4A,SP,0.023333333333333334,1,1,1,NA,NA,NA,0.01,0.05,0.01,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_4,transect_4C,EG,0.004,1,1,1,NA,NA,NA,0.01,0.001,0.001,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_4,transect_4C,SP,0.023333333333333334,1,1,1,NA,NA,NA,0.01,0.01,0.05,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_4,transect_4C,SP,0.03666666666666667,1,1,1,NA,NA,NA,0.01,0.05,0.05,NA,NA,NA,3,3,1,"native
perennial",0
2016,NA,transect,transect_4,transect_4C,SP,0.006999999999999999,1,1,1,NA,NA,NA,0.001,0.01,0.01,NA,NA,NA,3,3,1,"native
perennial",0
